,bag_countvectorizer_mse,bag_TfidfVectorizer_mse,doc2vec_mse,word2vec_mse
1y,0.4266683782634399,0.2753736825154592,0.2016351893623013,0.20755098739114353
2y,0.2492068272065541,0.2157831186378696,0.0855907987919748,0.06998761070346594
