code,report,rtn1y,rtn2y
000977,000977_浪潮信息_2021年年度报告.pdf,-0.4323843173636134,0.636020630701809
000983,000983_山西焦煤_2020年年度报告.pdf,0.3666970922418864,0.4108711650621633
000983,000983_山西焦煤_2021年年度报告.pdf,0.4108711650621633,-0.03975792230924102
000999,000999_华润三九_2020年年度报告.pdf,0.3396775567413965,0.3473040537917287
000999,000999_华润三九_2021年年度报告.pdf,0.3473040537917287,0.07510292827314524
001289,001289_龙源电力_2021年年度报告.pdf,0.6300852211677743,0.08960202679549134
001289,001289_龙源电力_龙源电力：H股-2021年年度报告.pdf,0.6300852211677743,0.08960202679549134
001965,001965_招商公路_2020年年度报告.pdf,0.1258593944243165,0.05229645649186598
001965,001965_招商公路_2021年年度报告.pdf,0.05229645649186598,0.2664275655494173
001979,001979_招商蛇口_2020年年度报告.pdf,0.04235594441458135,-0.01003815509448369
001979,001979_招商蛇口_2021年年度报告.pdf,-0.01003815509448369,-0.1707433923546375
002001,002001_新和成_2020年年度报告.pdf,0.1170193958980861,-0.2282185029446798
002001,002001_新和成_2021年年度报告.pdf,-0.2282185029446798,-0.05774753002451904
002007,002007_华兰生物_2020年年度报告.pdf,-0.2917258561169187,-0.2029772593063491
002007,002007_华兰生物_2021年年度报告.pdf,-0.2029772593063491,-0.008194395140540434
002027,002027_分众传媒_2020年年度报告.pdf,-0.1295779695097894,-0.1515575617031585
002027,002027_分众传媒_2021年年度报告.pdf,-0.1515575617031585,0.007903711675021352
002049,002049_紫光国微_2020年年度报告.pdf,0.6781852608585917,-0.1774809739983405
002049,002049_紫光国微_2021年年度报告.pdf,-0.1774809739983405,-0.4848593970959307
002050,002050_三花智控_2020年年度报告.pdf,0.03492842006513053,-0.1435376951651394
002050,002050_三花智控_2021年年度报告.pdf,-0.1435376951651394,0.3693461855465356
002074,002074_国轩高科_2020年年度报告.pdf,0.3307265937593498,-0.4575440700199986
002074,002074_国轩高科_2021年年度报告.pdf,-0.4575440700199986,-0.2769542959834773
